iter	RMSE
0	289.1004491
1	285.0066652
2	277.2357475
3	271.9276402
4	267.942485
5	265.4646726
6	259.0320867
7	255.7316431
8	252.8543601
9	243.3834241
10	240.2591508
11	234.4737677
12	230.8805585
13	222.7780165
14	220.8697168
15	218.3902244
16	216.5983679
17	209.9554668
18	207.8552159
19	202.3661212
20	200.6332347
21	194.244889
22	192.445892
23	188.1763591
24	185.9332263
25	183.1588704
26	182.1852856
27	179.2929501
28	177.4361668
29	174.5606469
30	172.4376122
31	169.9192012
32	165.4617692
33	164.6984136
34	163.1446093
35	159.3096263
36	158.1429707
37	156.9068559
38	153.1346642
39	149.5898696
40	148.6538719
41	146.6505132
42	145.8773841
43	144.4770037
44	140.1316093
45	137.1704996
46	135.7885539
47	134.2697039
48	133.7818119
49	132.1852378
50	131.5619769
51	130.6219526
52	127.2773998
53	125.997519
54	125.4717686
55	124.9183611
56	121.4902766
57	120.124157
58	118.940483
59	118.5241148
60	117.4045024
61	114.3480735
62	111.9997137
63	111.5631878
64	109.0032656
65	106.8551258
66	106.3072245
67	105.0442096
68	104.1803085
69	103.5769081
70	103.3168192
71	102.6105739
72	101.8389086
73	101.3379729
74	100.7873662
75	99.55096416
76	98.39212449
77	98.03537272
78	95.71857294
79	95.47850327
80	94.99383467
81	94.23680376
82	93.88824459
83	91.82244806
84	89.63763461
85	87.63265572
86	85.89894234
87	85.11024685
88	84.55198589
89	83.96003052
90	83.67130467
91	83.39985662
92	81.64319651
93	80.760648
94	80.30617578
95	79.31760185
96	77.86679224
97	77.45057218
98	77.31724338
99	76.04479968
