iter	Passed	Remaining
0	133	13218
1	135	6618
2	136	4419
3	138	3325
4	140	2668
5	142	2228
6	143	1909
7	145	1669
8	146	1478
9	147	1329
10	148	1205
11	150	1101
12	151	1012
13	152	936
14	153	870
15	154	813
16	155	760
17	157	715
18	158	673
19	159	636
20	160	602
21	161	572
22	162	544
23	163	518
24	164	494
25	165	472
26	166	451
27	167	431
28	169	414
29	170	397
30	171	381
31	172	366
32	173	352
33	174	338
34	175	326
35	176	313
36	177	302
37	178	291
38	179	281
39	180	271
40	182	262
41	183	253
42	184	245
43	186	236
44	187	228
45	188	220
46	189	213
47	190	206
48	191	199
49	192	192
50	193	186
51	194	179
52	196	174
53	197	168
54	198	162
55	199	157
56	201	151
57	202	146
58	203	141
59	204	136
60	205	131
61	206	126
62	207	121
63	208	117
64	209	112
65	210	108
66	211	104
67	212	100
68	213	96
69	214	92
70	215	88
71	217	84
72	218	80
73	219	77
74	220	73
75	222	70
76	223	66
77	224	63
78	225	59
79	226	56
80	227	53
81	228	50
82	229	47
83	231	44
84	232	40
85	233	38
86	234	35
87	235	32
88	236	29
89	237	26
90	239	23
91	240	20
92	241	18
93	242	15
94	243	12
95	244	10
96	245	7
97	246	5
98	247	2
99	248	0
